"index","date","depth","coverage","notes"
"2","11/20/201412:00:00","WSCT0003.JPG","10.0","10.0"
"5","11/21/201412:00:00","WSCT0006.JPG","0.0","0.0"
"8","11/22/201412:00:00","WSCT0009.JPG","18.0","0.0"
"11","11/23/201412:00:00","WSCT0012.JPG","22.0","0.0"
"14","11/24/201412:00:00","WSCT0015.JPG","0.0","0.0"
"17","11/25/201412:00:00","WSCT0018.JPG","0.0","0.0"
"20","11/26/201412:00:00","WSCT0021.JPG","0.0","0.0"
"23","11/27/201412:00:00","WSCT0024.JPG","0.0","0.0"
"26","11/28/201412:00:00","WSCT0027.JPG","0.0","0.0"
"29","11/29/201412:00:00","WSCT0030.JPG","0.0","0.0"
"32","11/30/201412:00:00","WSCT0033.JPG","0.0","0.0"
"35","12/01/201412:00:00","WSCT0036.JPG","20.0","40.0"
"38","12/02/201412:00:00","WSCT0039.JPG","20.0","40.0"
"41","12/03/201412:00:00","WSCT0042.JPG","0.0","0.0"
"44","12/04/201412:00:00","WSCT0045.JPG","0.0","0.0"
"47","12/05/201412:00:00","WSCT0048.JPG","0.0","0.0"
"50","12/06/201412:00:00","WSCT0051.JPG","0.0","0.0"
"53","12/07/201412:00:00","WSCT0054.JPG","0.0","0.0"
"56","12/08/201412:00:00","WSCT0057.JPG","0.0","0.0"
"59","12/09/201412:00:00","WSCT0060.JPG","0.0","0.0"
"62","12/10/201412:00:00","WSCT0063.JPG","0.0","0.0"
"65","12/11/201412:00:00","WSCT0066.JPG","0.0","0.0"
"68","12/12/201412:00:00","WSCT0069.JPG","0.0","0.0"
"71","12/13/201412:00:00","WSCT0072.JPG","0.0","0.0"
"74","12/14/201412:00:00","WSCT0075.JPG","0.0","0.0"
"77","12/15/201412:00:00","WSCT0078.JPG","0.0","0.0"
"80","12/16/201412:00:00","WSCT0081.JPG","0.0","0.0"
"83","12/17/201412:00:00","WSCT0084.JPG","0.0","0.0"
"86","12/18/201412:00:00","WSCT0087.JPG","0.0","0.0"
"89","12/19/201412:00:00","WSCT0090.JPG","0.0","0.0"
"92","12/20/201412:00:00","WSCT0093.JPG","0.0","0.0"
"95","12/21/201412:00:00","WSCT0096.JPG","0.0","0.0"
"98","12/22/201412:00:00","WSCT0099.JPG","0.0","0.0"
"101","12/23/201412:00:00","WSCT0102.JPG","0.0","0.0"
"104","12/24/201412:00:00","WSCT0105.JPG","0.0","0.0"
"107","12/25/201412:00:00","WSCT0108.JPG","0.0","0.0"
"110","12/26/201412:00:00","WSCT0111.JPG","0.0","0.0"
"113","12/27/201412:00:00","WSCT0114.JPG","0.0","0.0"
"116","12/28/201412:00:00","WSCT0117.JPG","0.0","0.0"
"119","12/29/201412:00:00","WSCT0120.JPG","0.0","0.0"
"122","12/30/201412:00:00","WSCT0123.JPG","0.0","0.0"
"125","12/31/201412:00:00","WSCT0126.JPG","0.0","0.0"
"128","01/01/201512:00:00","WSCT0129.JPG","0.0","0.0"
"131","01/02/201512:00:00","WSCT0132.JPG","0.0","0.0"
"134","01/03/201512:00:00","WSCT0135.JPG","0.0","0.0"
"137","01/04/201512:00:00","WSCT0138.JPG","0.0","0.0"
"140","01/05/201512:00:00","WSCT0141.JPG","0.0","0.0"
"143","01/06/201512:00:00","WSCT0144.JPG","0.0","0.0"
"146","01/07/201512:00:00","WSCT0147.JPG","0.0","0.0"
"149","01/08/201512:00:00","WSCT0150.JPG","0.0","0.0"
